Sender,Session_ID,Feature_Vector
user,3432,"[[3.300e+01 2.090e+02 3.000e+00 1.250e-02 9.375e-01 3.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]"
bot,3432,helaas
user,3432,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3433,"[[ 17. 117.   2.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.
    0.   0.   0.   0.   0.   0.   0.   0.   0.]]"
bot,3433,helaas
user,3433,"[[ 7. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2230,"[[ 5. 22.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2230,helaas
user,2230,"[[ 2. 16.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2231,[[1. 9. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]
bot,2231,helaas
user,2231,"[[ 1. 11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3434,"[[ 1. 11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3434,helaas
user,3434,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3435,"[[ 3. 23.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3435,helaas
user,3435,"[[ 2. 11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2232,"[[13. 75.  1.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2232,helaas
user,2232,"[[ 2. 11.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3436,"[[ 1. 11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3436,helaas
user,3436,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3437,"[[ 2.   12.    1.    0.15  0.45  0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.  ]]"
bot,3437,helaas
user,3437,"[[ 3. 24.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3438,[[2. 7. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]
bot,3438,helaas
user,3438,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3439,"[[ 2.  13.   1.   0.1  0.3  0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
bot,3439,helaas
user,3439,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3440,"[[1.  9.  1.  0.  0.3 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. ]]"
bot,3440,helaas
user,3440,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3441,"[[10. 45.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3441,helaas
user,3441,"[[ 1. 10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2233,"[[ 1. 12.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2233,helaas
user,2233,"[[ 2. 12.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2234,"[[ 2. 16.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2234,helaas
user,2234,"[[ 6. 47.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3442,"[[ 3. 16.  2.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3442,helaas
user,3442,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3443,"[[2.90e+01 1.59e+02 1.00e+00 1.50e-01 2.00e-01 4.00e+00 0.00e+00 0.00e+00
  0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
  0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00]]"
bot,3443,helaas
user,3443,"[[11.  65.   1.   0.1  0.   1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
user,3444,"[[ 23. 169.   3.   0.   0.   3.   0.   0.   0.   0.   0.   0.   0.   0.
    0.   0.   0.   0.   0.   0.   0.   0.   0.]]"
bot,3444,helaas
user,3444,"[[ 5. 41.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3445,"[[ 1. 10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3445,helaas
user,3445,"[[ 7.  48.   1.  -0.2 -0.3  2.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
user,2235,"[[ 9.  52.   1.   0.4  0.5  2.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
bot,2235,helaas
user,2235,"[[ 3. 23.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3446,[[1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]
bot,3446,helaas
user,3446,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2236,"[[ 4. 30.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2236,helaas
user,2236,"[[ 6. 42.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3447,"[[ 6. 46.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3447,helaas
user,3447,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3448,"[[2.35000000e+02 1.37300000e+03 1.90000000e+01 1.09090909e-01
  7.36363636e-01 9.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
  0.00000000e+00 0.00000000e+00 3.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 3.00000000e+00
  0.00000000e+00 0.00000000e+00 5.00000000e+00]]"
bot,3448,helaas
user,3448,"[[ 4. 26.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2237,"[[ 4. 28.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2237,helaas
user,2237,"[[ 1. 14.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3449,"[[ 46. 276.   3.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   22.   0.   0.   0.   0.   0.   0.   0.   0.]]"
bot,3449,helaas
user,3449,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3450,"[[ 2.  21.   1.   0.   0.3  0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
bot,3450,helaas
user,3450,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2238,"[[13. 97.  2.  0.  0.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2238,helaas
user,2238,"[[ 3. 28.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3451,"[[ 21.   155.     2.    -0.65   0.9    3.     0.     0.     0.     0.
    0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
    0.     0.     0.  ]]"
bot,3451,helaas
user,3451,"[[ 3.  15.   1.  -0.5  0.6  0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
user,3452,"[[11. 76.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3452,helaas
user,3452,"[[ 9. 56.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3453,"[[ 3. 21.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3453,helaas
user,3453,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3454,"[[11. 85.  1.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3454,helaas
user,3454,"[[ 5. 31.  1.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2239,"[[ 5. 28.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2239,helaas
user,2239,"[[ 5. 27.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3455,[[1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]
bot,3455,helaas
user,3455,[[1. 6. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]]
user,3456,"[[ 6.  45.   2.   0.   0.2  0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
bot,3456,helaas
user,3456,"[[ 2. 16.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3457,"[[ 5. 39.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3457,helaas
user,3457,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3458,"[[ 9. 42.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3458,helaas
user,3458,"[[ 9.  52.   1.  -0.5  0.6  1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
user,3459,"[[ 52.  336.    5.    0.5   1.    1.    0.    0.    0.    0.    0.    0.
    0.    0.   25.    0.    0.    0.    0.    0.    0.    0.    0. ]]"
bot,3459,helaas
user,3459,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3460,"[[3.300e+01 2.090e+02 3.000e+00 1.250e-02 9.375e-01 3.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]"
bot,3460,helaas
user,3460,"[[ 2. 19.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3460,"[[ 2. 10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3460,helaas
user,3460,"[[ 2.  17.   1.   0.   0.1  0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
user,2240,"[[ 45.         297.           2.          -0.43333333   0.7
    6.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.        ]]"
bot,2240,helaas
user,2240,"[[ 4. 17.  1.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3461,"[[ 7. 39.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3461,helaas
user,3461,"[[ 6. 32.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2241,"[[ 2. 11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2241,helaas
user,2241,"[[ 3. 18.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2242,"[[ 1. 10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2242,helaas
user,2242,"[[ 1. 10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3462,[[2. 8. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0.]]
bot,3462,helaas
user,3462,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3463,"[[6.200e+01 3.910e+02 4.000e+00 1.625e-01 6.625e-01 5.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  2.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]"
bot,3463,helaas
user,3463,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3464,"[[ 5. 25.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3464,helaas
user,3464,"[[ 3. 21.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3465,[[1. 7. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]
bot,3465,helaas
user,3465,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3466,"[[ 3. 20.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3466,helaas
user,3466,"[[ 1. 10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3467,"[[ 3. 22.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3467,helaas
user,3467,"[[1.80e+01 1.05e+02 1.00e+00 7.50e-02 2.75e-01 1.00e+00 0.00e+00 0.00e+00
  0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
  0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00]]"
user,3468,"[[ 8.   64.    1.    0.15  0.45  0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.  ]]"
bot,3468,helaas
user,3468,"[[ 3. 24.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2243,"[[ 6. 31.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2243,helaas
user,2243,"[[ 9. 73.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3469,"[[ 7. 37.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3469,helaas
user,3469,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3470,"[[5.10e+01 2.84e+02 4.00e+00 2.00e-01 7.00e-01 6.00e+00 0.00e+00 0.00e+00
  0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
  0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00]]"
bot,3470,helaas
user,3470,[[1. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]
user,3471,"[[ 4. 40.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3471,helaas
user,3471,"[[ 3. 18.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3472,"[[ 3. 21.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3472,helaas
user,3472,"[[ 3. 15.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3473,"[[19. 93.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  7.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3473,helaas
user,3473,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3474,"[[ 3.         20.          1.          0.          0.33333333  0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.        ]]"
bot,3474,helaas
user,3474,"[[ 4. 33.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3475,"[[4.7e+01 2.6e+02 4.0e+00 5.0e-02 2.5e-01 5.0e+00 0.0e+00 0.0e+00 0.0e+00
  0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00
  0.0e+00 1.0e+00 0.0e+00 0.0e+00 1.0e+00]]"
bot,3475,helaas
user,3475,"[[ 3. 13.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3476,"[[12. 68.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3476,helaas
user,3476,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2244,"[[ 8.   51.    1.   -0.65  0.9   2.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.  ]]"
bot,2244,helaas
user,2244,"[[ 2. 21.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2245,"[[10. 69.  1.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2245,helaas
user,2245,"[[ 4.  28.   1.  -0.5  0.6  1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
user,2246,"[[ 29.         163.           2.           0.17222222   0.36666667
    5.           0.           0.           0.           0.
    0.           0.           0.           0.           1.
    1.           0.           0.           0.           0.
    0.           0.           0.        ]]"
bot,2246,helaas
user,2246,"[[6.40000000e+01 3.91000000e+02 6.00000000e+00 2.16666667e-01
  4.75000000e-01 8.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
user,3477,"[[ 5.   42.    1.    0.15  0.45  0.    0.    0.    0.    0.    0.    0.
   0.    0.    1.    0.    0.    0.    0.    0.    0.    0.    0.  ]]"
bot,3477,helaas
user,3477,"[[ 5. 33.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,2247,"[[ 3. 21.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2247,helaas
user,2247,"[[ 2. 25.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3478,"[[ 2. 15.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,3478,helaas
user,3478,"[[10. 58.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3479,"[[ 46. 276.   3.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   22.   0.   0.   0.   0.   0.   0.   0.   0.]]"
bot,3479,helaas
user,3479,"[[ 5. 37.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3480,"[[2.330e+02 1.355e+03 1.900e+01 5.250e-02 7.125e-01 9.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00
  3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.000e+00 0.000e+00
  0.000e+00 5.000e+00]]"
bot,3480,helaas
user,3480,"[[ 17.   128.     3.    -0.65   0.9    1.     0.     0.     0.     0.
    0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
    0.     0.     1.  ]]"
user,2248,"[[ 1. 10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
bot,2248,helaas
user,2248,"[[ 1. 10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3481,"[[15. 99.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  2.]]"
bot,3481,helaas
user,3481,"[[ 5. 25.  1.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3482,"[[ 3.  29.   1.   0.4  0.5  0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0. ]]"
bot,3482,helaas
user,3482,"[[ 3. 25.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3483,"[[1.190e+02 7.250e+02 8.000e+00 2.875e-01 5.750e-01 1.100e+01 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  2.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]"
bot,3483,helaas
user,3483,"[[ 2. 11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
   0.  0.  0.  0.  0.]]"
user,3484,"[[ 7.   39.    1.    0.2   0.45  0.    0.    0.    0.    0.    0.    0.
   0.    0.    1.    0.    0.    0.    0.    0.    0.    0.    0.  ]]"
bot,3484,helaas
